index,name,birthday,title,characterName,characterYear,characterAge,characterGender,loveInterest
0,Ben Platt,09/24/1993,The Politician,Payton Hobart,hs senior,,M,"Alice Charles, Astrid Sloan, River Barkley"
1,Zoey Deutch,11/10/1994,The Politician,Infinity Jackson,hs senior,,F,
2,Lucy Boynton,01/17/1994,The Politician,Astrid Sloan,hs senior,,F,"Payton Hobart, River Barkley"
3,Julia Schlaepfer,03/03/1995,The Politician,Alice Charles,hs senior,,F,"Payton Hobart, James Sullivan"
4,Laura Dreyfuss,08/22/1988,The Politician,McAfee Westbrook,hs senior,,F,Skye Leighton
5,Theo Germaine,,The Politician,James Sullivan,hs senior,,M,Alice Charles
6,Rahne Jones,05/04/1987,The Politician,Skye Leighton,hs senior,,NB,McAfee Westbrook
7,David Corenswet,07/08/1993,The Politician,River Barkley,hs senior,,M,"Astrid Sloan, Payton Hobart"
8,Ryan J. Haddad,01/03/1992,The Politician,Andrew Cashman,hs senior,,M,
9,Alexis Bledel,09/16/1981,Gilmore Girls,Rory Gilmore,hs sophomore,,F,Dean Forester
10,Keiko Agena,10/03/1973,Gilmore Girls,Lane Kim,hs sophomore,,F,
11,Liza Weil,06/05/1977,Gilmore Girls,Paris Geller,hs sophomore,,F,
12,Jared Padalecki,07/19/1982,Gilmore Girls,Dean Forester,hs sophomore,,M,Rory Gilmore
13,Teal Redmann,09/30/1982,Gilmore Girls,Louise Grant,hs sophomore,,F,
14,Shelly Cole,08/22/1975,Gilmore Girls,Madeline Lynn,hs sophomore,,F,
15,Chad Michael Murray,08/24/1981,Gilmore Girls,Tristin Dugray,hs sophomore,,M,
16,Asa Butterfield,04/01/1997,Sex Education,Otis Milburn,,16.0,M,"Maeve Wiley, Lily Iglehart, Ola Nyman"
17,Ncuti Gatwa,10/15/1992,Sex Education,Eric Effiong,,16.0,M,Adam Groff
18,Emma Mackey,01/04/1996,Sex Education,Maeve Wiley,,16.0,F,"Otis Milburn, Jackson Marchetti"
19,Connor Swindells,09/19/1996,Sex Education,Adam Groff,,16.0,M,"Eric Effiong, Aimee Gibbs"
20,Kedar Williams-Stirling,12/14/1994,Sex Education,Jackson Marchetti,,16.0,M,Maeve Wiley
21,Aimee Lou Wood,02/03/1995,Sex Education,Aimee Gibbs,,16.0,F,Adam Groff
22,Tanya Reynolds,11/4/1991,Sex Education,Lily Iglehart,,16.0,F,Otis Milburn
23,Patricia Allison,12/07/1994,Sex Education,Ola Nyman,,16.0,F,Otis Milburn
24,Mimi Keene,08/05/1998,Sex Education,Ruby Matthews,,16.0,F,
25,Simone Ashley,03/30/1995,Sex Education,Olivia Hanan,,16.0,F,
26,Chaneil Kular,08/20/1999,Sex Education,Anwar,,16.0,M,
